tipo_vivienda,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,"US$ 300,000",4 habitaciones,2.5 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",190 Mt2,"1/2 Baño, Area de Juegos Infantiles, Ascensor, Cuarto de Servicio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Terraza"
apartamento,"US$ 900,000",5 habitaciones,4.5 baños,5 parqueos,"La Julia, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Piscina"
casa,"RD$ 15,200,000",5 habitaciones,5.5 baños,4 parqueos,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",365 Mt2,
apartamento,"US$ 316,000",3 habitaciones,5.0 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",300 Mt2,"1/2 Baño, Aire Acondicionado, Ascensor, Balcón, Jacuzzi, Lobby, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 350,000",3 habitaciones,3.5 baños,3 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",413 Mt2,"1/2 Baño, Ascensor, Cuarto de Servicio, Estar Familiar, Estudio, Lobby, Seguridad 24 Horas, Terraza"
apartamento,"RD$ 6,500,000",3 habitaciones,2.0 baños,2 parqueos,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",126 Mt2,1/2 Baño
apartamento,"US$ 115,000",2 habitaciones,2.0 baños,1 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",110 Mt2,"Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio"
apartamento,"US$ 220,000",3 habitaciones,3.5 baños,2 parqueos,"Anacaona, Santo Domingo Centro (D.N.), Santo Domingo",250 Mt2,"1/2 Baño, Ascensor, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 152,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",132 Mt2,"1/2 Baño, Agua Potable, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 125,000",3 habitaciones,2.5 baños,2 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",154 Mt2,"1/2 Baño, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
casa,"RD$ 7,900,000",3 habitaciones,4.0 baños,2 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",350 Mt2,"Cisterna, Patio, Seguridad 24 Horas"
apartamento,"US$ 220,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",200 Mt2,"Ascensor, Balcón"
apartamento,"US$ 165,000",3 habitaciones,1.5 baños,NA,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",165 Mt2,"1/2 Baño, Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica"
apartamento,"RD$ 5,100,000",2 habitaciones,2.0 baños,1 parqueos,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",95 Mt2,"Ascensor, Balcón"
apartamento,"RD$ 5,600,000",2 habitaciones,2.0 baños,2 parqueos,"Zona Universitaria, Santo Domingo Centro (D.N.), Santo Domingo",143 Mt2,"Ascensor, Balcón, Cisterna, Seguridad 24 Horas, Terraza"
apartamento,"US$ 8,500,000",3 habitaciones,3.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",190 Mt2,"1/2 Baño, Ascensor, Balcón, Lobby, Planta Eléctrica, Seguridad 24 Horas, Vestidores, Walk In Closet"
apartamento,"US$ 124,000",3 habitaciones,2.5 baños,2 parqueos,"Fernandez, Santo Domingo Centro (D.N.), Santo Domingo",129 Mt2,"1/2 Baño, Ascensor, Balcón, Lobby, Seguridad 24 Horas"
apartamento,"US$ 180,000",3 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",224 Mt2,"1/2 Baño, Terraza"
apartamento,"US$ 9,500,000",3 habitaciones,2.0 baños,NA,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",225 Mt2,"Balcón, Cuarto de Servicio, Lobby, Seguridad 24 Horas, Walk In Closet"
apartamento,"RD$ 3,385,000",2 habitaciones,1.0 baños,1 parqueos,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",85 Mt2,"Balcón, Cisterna, Pozo, Seguridad 24 Horas"
apartamento,"RD$ 6,000,000",2 habitaciones,2.0 baños,NA,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",108 Mt2,"1/2 Baño, Balcón, Planta Eléctrica, Pozo"
casa,"US$ 650,000",3 habitaciones,3.5 baños,4 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",711 Mt2,
apartamento,"RD$ 120,065",1 habitaciones,2.5 baños,1 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",75 Mt2,"1/2 Baño, Agua Potable, Ascensor, Estudio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 8,400,000",3 habitaciones,3.0 baños,2 parqueos,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",182 Mt2,
apartamento,"US$ 410,000",4 habitaciones,4.5 baños,3 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",420 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Patio, Piscina, Planta Eléctrica, Pozo, Sauna, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"RD$ 7,900,000",3 habitaciones,2.5 baños,2 parqueos,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",165 Mt2,
apartamento,"US$ 134,000",1 habitaciones,1.5 baños,1 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",106 Mt2,"1/2 Baño, Aire Acondicionado, Ascensor, Balcón, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Shutters"
apartamento,"US$ 185,000",3 habitaciones,2.5 baños,2 parqueos,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",220 Mt2,"Estudio, Lobby"
apartamento,"US$ 169,000",3 habitaciones,3.5 baños,2 parqueos,"Jardines Del Sur, Santo Domingo Centro (D.N.), Santo Domingo",201 Mt2,"1/2 Baño, Cuarto de Servicio, Seguridad 24 Horas, Terraza"
apartamento,"RD$ 7,100,000",3 habitaciones,2.0 baños,2 parqueos,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"Ascensor, Balcón, Seguridad 24 Horas"
