tipo_vivienda,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,"US$ 78,000",1 habitaciones,1.5 baños,1 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",52 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gazzebo, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 88,400",1 habitaciones,1.5 baños,1 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",68 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 129,800",2 habitaciones,2.0 baños,2 parqueos,"El Vergel, Santo Domingo Centro (D.N.), Santo Domingo",98 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Terraza, Walk In Closet"
apartamento,"US$ 128,200",2 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",107 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 131,000",2 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",94 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 80,800",2 habitaciones,1.0 baños,1 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",76 Mt2,"Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Seguridad 24 Horas, Terraza"
apartamento,"US$ 78,400",1 habitaciones,1.5 baños,1 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",67 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Control de Acceso, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 80,000",1 habitaciones,1.5 baños,1 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",56 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 158,000",3 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",130 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 115,500",2 habitaciones,2.5 baños,1 parqueos,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",84 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 147,000",3 habitaciones,3.5 baños,2 parqueos,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",120 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 139,000",2 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",110 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 129,000",2 habitaciones,2.0 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",85 Mt2,"Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 170,000",3 habitaciones,2.5 baños,2 parqueos,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",144 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gazzebo, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 235,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",191 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Jacuzzi, Lobby, Piscina, Planta Eléctrica, Pozo, Sauna, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 70,950",1 habitaciones,1.5 baños,1 parqueos,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",56 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 102,000",2 habitaciones,2.0 baños,1 parqueos,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",86 Mt2,"Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 202,000",3 habitaciones,3.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",158 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 97,000",1 habitaciones,1.5 baños,1 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",67 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 156,250",2 habitaciones,2.5 baños,2 parqueos,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",110 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Vestidores, Walk In Closet"
apartamento,"US$ 160,000",2 habitaciones,2.5 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",111 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 131,000",2 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",94 Mt2,"1/2 Baño, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 138,150",2 habitaciones,2.5 baños,2 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",110 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
casa,"RD$ 11,100,000",3 habitaciones,3.5 baños,2 parqueos,"Altos de Arroyo Hondo III, Santo Domingo Centro (D.N.), Santo Domingo",200 Mt2,"Area Servicio Independiente, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Inversor, Patio, Seguridad 24 Horas, Walk In Closet"
apartamento,"RD$ 5,800,000",2 habitaciones,2.0 baños,2 parqueos,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",114 Mt2,"Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Estudio, Lobby"
apartamento,"US$ 525,000",3 habitaciones,3.5 baños,3 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",375 Mt2,"1/2 Baño, Ascensor, Cuarto de Servicio, Estudio, Family Room, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 123,000",2 habitaciones,2.0 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",96 Mt2,"Ascensor, Gimnasio, Planta Eléctrica, Seguridad 24 Horas, Terraza"
apartamento,"RD$ 5,800,000",2 habitaciones,2.0 baños,1 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",125 Mt2,"Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 4,950,000",2 habitaciones,2.0 baños,2 parqueos,"Honduras, Santo Domingo Centro (D.N.), Santo Domingo",90 Mt2,"Balcón, Cisterna, Inversor, Pozo, Seguridad 24 Horas, Terraza"
apartamento,"US$ 152,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",132 Mt2,"Area de Juegos Infantiles, Ascensor, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 179,000",3 habitaciones,3.0 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",180 Mt2,"Control de Acceso, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 5,200,000",2 habitaciones,2.0 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 160,000",3 habitaciones,2.5 baños,3 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",148 Mt2,"1/2 Baño, Agua Potable, Ascensor, Cisterna, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 199,900",3 habitaciones,3.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",175 Mt2,"Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Gazzebo, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 252,000",3 habitaciones,3.5 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",225 Mt2,"1/2 Baño, Ascensor, Cuarto de Servicio, Gimnasio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 128,000",2 habitaciones,2.5 baños,2 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",140 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica"
apartamento,"US$ 355,000",3 habitaciones,3.5 baños,3 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",300 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 155,000",3 habitaciones,2.5 baños,2 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",225 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Seguridad 24 Horas, Vestidores"
apartamento,"US$ 185,000",2 habitaciones,2.5 baños,2 parqueos,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",173 Mt2,"1/2 Baño, Ascensor, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 12,000,000",3 habitaciones,3.5 baños,2 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",360 Mt2,"Ascensor, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"RD$ 11,000,000",4 habitaciones,4.0 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",310 Mt2,"Lobby, Planta Eléctrica, Seguridad 24 Horas"
casa,"RD$ 4,850,000",4 habitaciones,2.5 baños,2 parqueos,"Arroyo Manzano, Santo Domingo Centro (D.N.), Santo Domingo",265 Mt2,"Patio, Seguridad 24 Horas"
casa,"RD$ 8,500,000",3 habitaciones,2.0 baños,NA,"Gala, Santo Domingo Centro (D.N.), Santo Domingo",395 Mt2,
casa,"RD$ 7,650,000",3 habitaciones,2.0 baños,NA,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",232 Mt2,
apartamento,"US$ 120,000",2 habitaciones,2.0 baños,2 parqueos,"Zona Universitaria, Santo Domingo Centro (D.N.), Santo Domingo",143 Mt2,
apartamento,"US$ 210,000",3 habitaciones,3.5 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",198 Mt2,"Ascensor, Balcón, Cuarto de Servicio, Estar Familiar, Planta Eléctrica, Walk In Closet"
apartamento,"RD$ 3,900,000",3 habitaciones,2.0 baños,2 parqueos,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",124 Mt2,"Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Seguridad 24 Horas"
apartamento,"RD$ 4,200,000",2 habitaciones,1 parqueos,NA,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",140 Mt2,"Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Lobby, Patio, Seguridad 24 Horas, Walk In Closet"
apartamento,"RD$ 1,700,000",1 habitaciones,1.0 baños,1 parqueos,"Altos de Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",47 Mt2,"Agua Potable, Balcón, Cisterna, Control de Acceso, Seguridad 24 Horas"
apartamento,"RD$ 3,200,000",3 habitaciones,2.0 baños,2 parqueos,"Altos de Arroyo Hondo III, Santo Domingo Centro (D.N.), Santo Domingo",115 Mt2,"Agua Potable, Balcón, Control de Acceso, Cuarto de Servicio, Walk In Closet"
apartamento,"US$ 155,000",3 habitaciones,3.5 baños,3 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",217 Mt2,"1/2 Baño, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 7,500,000",3 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",162 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 136,000",3 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"1/2 Baño, Area de Juegos Infantiles, Ascensor, Balcón, Cuarto de Servicio, Gimnasio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 4,200,000",2 habitaciones,1.0 baños,1 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",110 Mt2,"Agua Potable, Balcón, Cuarto de Servicio"
apartamento,"US$ 169,000",2 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",89 Mt2,"1/2 Baño, Agua Potable, Ascensor, Gazzebo, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 343,200",3 habitaciones,3.5 baños,3 parqueos,"Paraiso, Santo Domingo Centro (D.N.), Santo Domingo",250 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Estudio, Gazzebo, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
casa,"RD$ 9,800,000",3 habitaciones,2.0 baños,2 parqueos,"10 1/2 Carretera Sanchez, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"Agua Potable, Patio"
apartamento,"US$ 128,000",2 habitaciones,2.5 baños,2 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",140 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica, Walk In Closet"
apartamento,"US$ 128,882",1 habitaciones,1.5 baños,1 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",60 Mt2,"Agua Potable, Ascensor, Cisterna, Piscina, Planta Eléctrica"
apartamento,"US$ 175,000",3 habitaciones,3.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",200 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 228,000",3 habitaciones,2.5 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",180 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
casa,"US$ 1,250,000",3 habitaciones,3.5 baños,5 parqueos,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",560 Mt2,"1/2 Baño, Agua Potable, Cisterna, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gimnasio, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 260,000",3 habitaciones,3.5 baños,3 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",188 Mt2,"1/2 Baño, Agua Potable, Ascensor, Cuarto de Servicio, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 155,000",2 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",140 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 230,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",205 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica"
apartamento,"US$ 236,000",3 habitaciones,3.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",236 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 350,000",NA,NA,NA,"Anacaona, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"1/2 Baño, Agua Potable, Balcón, Cuarto de Servicio, Estar Familiar, Estudio, Gazzebo, Gimnasio, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza"
apartamento,"US$ 265,000",2 habitaciones,2.5 baños,2 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",164 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Sauna, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"RD$ 3,900,000",3 habitaciones,2.0 baños,2 parqueos,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",125 Mt2,
apartamento,"RD$ 7,450,000",3 habitaciones,2.0 baños,1 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",280 Mt2,
apartamento,"RD$ 6,950,000",3 habitaciones,3.0 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",135 Mt2,"Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 220,000",4 habitaciones,4.5 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",205 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Estar Familiar, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"RD$ 5,650,000",2 habitaciones,2.5 baños,2 parqueos,"Paraiso, Santo Domingo Centro (D.N.), Santo Domingo",150 Mt2,"1/2 Baño, Aire Acondicionado, Area Servicio Independiente, Cisterna, Estar Familiar, Family Room, Planta Eléctrica, Seguridad 24 Horas, Vestidores"
apartamento,"US$ 220,000",3 habitaciones,3.0 baños,2 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",205 Mt2,"Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 134,308",3 habitaciones,2.5 baños,2 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",182 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
apartamento,"US$ 69,000",3 habitaciones,3.5 baños,1 parqueos,"Honduras, Santo Domingo Centro (D.N.), Santo Domingo",119 Mt2,"1/2 Baño, Ascensor, Balcón, Cisterna, Control de Acceso, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
apartamento,"US$ 50,000",1 habitaciones,1.5 baños,1 parqueos,"El Cacique, Santo Domingo Centro (D.N.), Santo Domingo",75 Mt2,"1/2 Baño, Agua Potable, Cisterna, Control de Acceso, Lobby, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 155,000",2 habitaciones,2.5 baños,1 parqueos,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",115 Mt2,"1/2 Baño, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
apartamento,"US$ 121,000",1 habitaciones,1.5 baños,1 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",73 Mt2,"Ascensor, Control de Acceso, Planta Eléctrica, Seguridad 24 Horas"
apartamento,"US$ 76,700",1 habitaciones,1.5 baños,1 parqueos,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",59 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Family Room, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 165,000",2 habitaciones,2.5 baños,2 parqueos,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",120 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza"
casa,"US$ 350,000",5 habitaciones,5.5 baños,10 parqueos,"Cuesta Hermosa II, Santo Domingo Centro (D.N.), Santo Domingo",750 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Balcón, Cisterna, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Jacuzzi, Patio, Piscina, Planta Eléctrica, Pozo, Walk In Closet"
apartamento,"US$ 650,000",4 habitaciones,4.5 baños,4 parqueos,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",330 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Vestidores, Walk In Closet"
apartamento,"US$ 135,000",3 habitaciones,2.5 baños,2 parqueos,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",127 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gazzebo, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,"US$ 235,000",2 habitaciones,2.0 baños,NA,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",125 Mt2,"Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Patio, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 235,000",2 habitaciones,2.0 baños,2 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",122 Mt2,"Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 170,000",1 habitaciones,1.0 baños,1 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",88 Mt2,"Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,"US$ 245,000",2 habitaciones,2.5 baños,2 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",160 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
