"","tipo_vivienda","divisa","precio","habitaciones","banios","parqueos","direccion","metraje","detalles"
"24","casa","RD$","9,800,000",4,4.5,4,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",360,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Jacuzzi, Patio, Terraza, Vestidores, Walk In Closet"
"25","apartamento","US$","275,000",3,3.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",300,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Family Room, Lobby, Planta Eléctrica, Pozo, Vestidores, Walk In Closet"
"26","apartamento","US$","239,000",3,3.5,2,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",232,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Family Room, Gazzebo, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
"27","casa","RD$","8,900,000",4,3.5,3,"Colinas del Seminario, Santo Domingo Centro (D.N.), Santo Domingo",270,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Family Room, Patio, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"28","apartamento","RD$","3,700,000",3,2,2,"Cuesta Brava, Santo Domingo Centro (D.N.), Santo Domingo",148,"Agua Potable, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Seguridad 24 Horas, Terraza"
"29","apartamento","US$","220,000",3,3.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",220,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
"30","apartamento","RD$","3,900,000",3,2,2,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",124,"Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Seguridad 24 Horas"
"31","apartamento","US$","112,000",3,3.5,2,"Colina de los Rios, Santo Domingo Centro (D.N.), Santo Domingo",120,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Terraza, Vestidores"
"32","apartamento","RD$","4,995,000",3,2,1,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",130,"Agua Potable, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio"
"33","apartamento","US$","270,000",3,3,2,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",413,"1/2 Baño, Balcón, Cuarto de Servicio, Jacuzzi, Terraza"
"34","casa","RD$","11,800,000",4,4,4,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",352,"1/2 Baño, Cuarto de Servicio, Jacuzzi, Seguridad 24 Horas, Terraza"
"35","casa","RD$","4,500,000",3,2,4,"km 14 autopista duarte, Santo Domingo Centro (D.N.), Santo Domingo",220,"Balcón, Seguridad 24 Horas, Terraza"
"36","casa","RD$","8,900,000",3,2,NA,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",238,"Cuarto de Servicio, Estar Familiar, Patio"
"37","apartamento","RD$","1,700,000",1,1,1,"Don Honorio, Santo Domingo Centro (D.N.), Santo Domingo",68,""
"38","apartamento","RD$","6,500,000",2,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",123,""
"39","apartamento","RD$","4,300,000",2,1,1,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",105,"Cuarto de Servicio, Seguridad 24 Horas"
"40","casa","RD$","7,000,000",3,2,3,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",336,"Cuarto de Servicio, Estar Familiar, Estudio, Jacuzzi, Patio, Vestidores"
"41","apartamento","RD$","4,800,000",2,2,1,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",125,"Balcón, Cuarto de Servicio"
"42","casa","RD$","13,000,000",4,3.5,5,"Altos de Las Praderas, Santo Domingo Centro (D.N.), Santo Domingo",178,"1/2 Baño"
"43","casa","RD$","3,300,000",3,2,NA,"Maria Auxiliadora, Santo Domingo Centro (D.N.), Santo Domingo",150,""
"44","apartamento","RD$","4,700,000",3,2,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",140,"Vestidores, Walk In Closet"
"45","apartamento","RD$","5,750,000",2,2,2,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",140,"Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
"46","apartamento","RD$","13,400,000",4,2.5,NA,"Cuesta Brava, Santo Domingo Centro (D.N.), Santo Domingo",549,""
"47","apartamento","RD$","3,300,000",3,2,1,"Don Honorio, Santo Domingo Centro (D.N.), Santo Domingo",127,""
"48","apartamento","RD$","3,000,000",2,2,2,"Altos de Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",176,"Seguridad 24 Horas"
